person.address.address,person.address.cap,person.address.house_number,person.address.municipality,person.birthdate,person.cellphone,person.codice_fiscale,person.name,person.sex,person.surname,vaccination.0.datetime,vaccination.0.dose,vaccination.0.healtcarePersonnel.cellphone,vaccination.0.healtcarePersonnel.codice_fiscale,vaccination.0.healtcarePersonnel.name,vaccination.0.healtcarePersonnel.role,vaccination.0.healtcarePersonnel.surname,vaccination.0.type,vaccination.1.datetime,vaccination.1.dose,vaccination.1.healtcarePersonnel.name,vaccination.1.healtcarePersonnel.surname,vaccination.1.healtcarePersonnel.codice_fiscale,vaccination.1.healtcarePersonnel.cellphone,vaccination.1.healtcarePersonnel.role,vaccination.1.type,vaccination.0.id,vaccination.1.id,test.0.healtcarePersonnel.name,test.0.healtcarePersonnel.surname,test.0.healtcarePersonnel.codice_fiscale,test.0.healtcarePersonnel.cellphone,test.0.healtcarePersonnel.role,test.0.type,test.0.result,test.0.datetime,test.0.id,test.1.healtcarePersonnel.name,test.1.healtcarePersonnel.surname,test.1.healtcarePersonnel.codice_fiscale,test.1.healtcarePersonnel.cellphone,test.1.healtcarePersonnel.role,test.1.type,test.1.result,test.1.datetime,test.1.id,test.2.healtcarePersonnel.name,test.2.healtcarePersonnel.surname,test.2.healtcarePersonnel.codice_fiscale,test.2.healtcarePersonnel.cellphone,test.2.healtcarePersonnel.role,test.2.type,test.2.result,test.2.datetime,test.2.id,test.3.healtcarePersonnel.name,test.3.healtcarePersonnel.surname,test.3.healtcarePersonnel.codice_fiscale,test.3.healtcarePersonnel.cellphone,test.3.healtcarePersonnel.role,test.3.type,test.3.result,test.3.datetime,test.3.id,contact.0.name,contact.0.surname,contact.0.cellphone,contact.1.name,contact.1.surname,contact.1.cellphone
Via Bologna,59100,491 a/3,Prato,1957-07-13,+393410575148,MSCRND57L13L620M,Armando,M,Mosca,2021-12-01 19:54:21,1,+393385025882,DDIDIA53T71L959Q,Ida,doctor,Di Dio,Moderna,,,,,,,,,12907e93-6f04-4eca-b1c2-1650715c24e8,,Ella,Longo,LNGLLE65A46A185I,+39370605047,other,Molecular,Positive,2021-06-01 01:25:20,fc4ecc3f-1da7-4351-ae6a-37091070f34e,Aranit,Barbieri,BRBRNT40M11F739R,+39340483915,doctor,Molecular,Negative,2021-06-12 18:33:27,47d2b694-15c7-41ad-b5dc-116027d17c4a,Christian,Mancini,MNCCRS34M23I394F,+393531423563,nurse,Antigen,Negative,2021-10-10 08:23:17,8ae39c47-a28c-4b6b-ab4f-d922f0d4acb0,,,,,,,,,,Viola,Lombardi,+39337663875,Salvatore,Hofer,+393664640809
Via Ruggero,95040,32,San Cono,1944-01-31,+393177839162,RNAMGH44A71G624F,Margherita,F,Arena,2021-09-20 08:11:24,1,+39337943873,RSSMGR66R47G646Q,Maria Grazia,doctor,Rossi,Moderna,2021-10-18 08:11:24,2,Teresa,Messina,MSSTRS89E51A478O,+393792230568,other,Moderna,0578ccf8-436d-441d-a16d-7e42dceab2f1,bab8fbf5-0e9b-4346-9288-15e93ce4c46d,,,,,,,,,,,,,,,,,,,Luana,Tomasi,TMSLNU34R55L211N,+39328027656,other,Antigen,Positive,2021-07-18 13:16:45,b20844f9-7471-4ce4-adfa-c58203fbb5d1,,,,,,,,,,Mario,Ferrari,+39357099702,Rinaldo Michele,Moretti,+393541202754
Corso Giuseppe Garibaldi,47121,205,Forli',1945-04-23,+393834949922,BNCNDR45D23H297T,Andrea,M,Bianchi,2021-05-19 03:17:16,1,+393947621203,BNCRSR42H25C232S,Rosario,doctor,Bianco,Johnson & Johnson,2021-06-16 03:17:16,2,Luigi Domenico Ernesto,Merola,MRLLDM33P11F203W,+393877874311,doctor,Johnson & Johnson,253f1b50-1f4c-42bd-89a1-94676e816b47,ee587634-c050-4dec-8dcd-e74bab6e3153,Giuseppa,Donati,DNTGPP36P58B509D,+39350318477,doctor,Antigen,Negative,2021-10-17 16:48:46,bc63de2f-bb3b-431a-8583-55228912f2cd,Idelma,Brambilla,BRMDLM80A49D367C,+393438114381,doctor,Antigen,Negative,2021-07-28 00:20:26,e15f2092-7c7e-49ed-9907-f177df9ccebc,Sara,Pinna,PNNSRA49B44E376W,+39372025892,nurse,Molecular,Positive,2021-08-01 00:10:11,76fa7968-b66a-4af8-8563-c4c987a29469,Angelina,Vitali,VTLNLN87A54C070L,+393543440796,doctor,Molecular,Negative,2021-10-09 04:25:10,f87ee527-d5ae-4d13-ad5b-1f970be44488,Pasquale,Coslovich  Visintin,+393196446087,Daniela,Caruso,+39399456267
Via Delle Grotte,3020,40,Castro Dei Volsci,1971-03-09,+393566278206,FRRMGB71C49L983F,Maria Gabriella,F,Ferrari,,,,,,,,,,,,,,,,,,,Loredana,Rossi,RSSLDN48T48L145V,+393641890406,other,Molecular,Positive,2021-11-28 03:00:35,7e08a235-985f-46f4-9864-8546193e411f,,,,,,,,,,Cinzia,Parodi,PRDCNZ84P60C063T,+39375909237,other,Molecular,Positive,2021-03-01 13:29:50,29953079-94c8-467a-8420-cef0f706b7db,,,,,,,,,,Rosanna,Ferrari,+39323684265,Piero Felice,Campoli,+39327617241
Corso Umberto,75012,199,Bernalda,1993-10-14,+39395199568,FNTFNC93R14L939J,Franco,M,Finotti,2021-01-20 21:53:31,1,+393203377582,CNCMRA66S15D827B,Mario,doctor,Concas,Pfizer-BioNTech,,,,,,,,,0e3da747-0390-489d-8ef4-c6fdd1465696,,Loredana,Rossi,RSSLDN40S49G018M,+393278059454,nurse,Molecular,Negative,2021-10-28 09:40:21,2029c74f-e6bc-4490-99f4-059201a698d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Massimo,Di Stefano,+39342820824,Adelina,Bruno,+39398160429
Via Giuseppe Garibaldi,30027,85,San Dona' Di Piave,1981-05-25,+39357407433,PLMPLA81E65H467I,Paola,F,Palumbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erla,Riva,RVIRLE43T43F944T,+393369708407,doctor,Molecular,Positive,2021-12-26 06:28:13,81e6bc20-87c7-4def-9296-aedefa47417a,Giorgio,Ferrari,FRRGRG88R16F384I,+39383163161,other,Antigen,Positive,2021-07-24 22:02:33,3f934c91-4313-4612-aff8-c0b8c284eaaf,,,,,,,,,,Antonietta Maria Raimonda,Fabbri,+393554703234,Cosima,Loi,+393298920894
Viavia Lago,41022,2,Fiumalbo,1962-01-09,+393650567172,RCCCST62A49C766B,Cristina,F,Ricci,2021-10-10 05:02:36,1,+393868160706,SNNNNA76M41I748P,Anna,nurse,Sanna,Moderna,,,,,,,,,1aaa7e90-6fda-4a05-8e83-2f5b328f53ed,,,,,,,,,,,Clara,Bianchi,BNCCLR79L57G449D,+39387140017,nurse,Antigen,Negative,2021-03-18 06:24:53,0d02e9a5-2722-44f1-ae64-6c77e6c0f59c,,,,,,,,,,Maryam,Romano,RMNMYM69E55A719W,+39345232873,other,Antigen,Positive,2021-07-27 09:34:53,95f03283-8d65-4e4b-89d9-f9fdd5993204,Marianna,Cremonesi,+39395803844,Alessio,Gamper,+39326307557
Piazza Principe Umberto,70051,24,Barletta,1985-02-25,+39376675514,SRAFNC85B65B288D,Francesca,F,Asaro,,,,,,,,,,,,,,,,,,,Paola,Miglio,MGLPLA85M57L847G,+39363048965,doctor,Antigen,Negative,2021-06-28 04:40:02,20cf835a-a52a-4d35-a2f5-3ca51e637e1b,Artan,Bortolin,BRTRTN65B26H609Z,+39387144913,nurse,Molecular,Negative,2021-11-23 10:11:10,bfe18ee9-12e1-4208-8fe4-4df527df8d43,,,,,,,,,,Diletta,Neri,NREDTT80L62C172A,+39380213714,doctor,Antigen,Positive,2021-03-01 18:49:02,966fd971-9f1c-4846-942c-e1d556e1b4ff,Mirko,Esposito,+393502451594,Manuela,Bortoluzzi,+393117378731
Via Coti Zelati,20037,35,Paderno Dugnano,1983-01-04,+39333400384,CZZSML83A04B410O,Samuele,M,Cozzani,2021-04-28 04:58:29,1,+39346076357,RPSRCE76A19G253A,Eric,nurse,Rapisarda,Moderna,2021-05-26 04:58:29,2,Antonella,Casadio,CSDNNL34M50B982O,+39357481557,other,Moderna,94416919-f5e0-4e05-badd-798ed4e0abd3,83bd7732-8a0b-4e30-9f5e-0c8b5259a510,Reana Cinzia,Addis,DDSRCN67L48M276P,+393699668479,doctor,Molecular,Positive,2021-07-05 08:30:39,c65fae36-810d-4d53-8b49-05af3579b203,,,,,,,,,,Luigina Ernesta,Tassone,TSSLNR57L68D364K,+393284675243,other,Antigen,Negative,2021-03-15 02:31:53,0acbba62-7581-4b1b-83d3-2f5ead156d10,,,,,,,,,,Mara,Mura,+393269066895,Rosario,Marino,+393101826664
Corso Traiano,10135,22/E,Torino,1922-05-18,+393542498375,FRRVCN22E18B883S,Vincenzo,M,Ferrari,2021-04-08 11:30:53,1,+393785789232,RSSSLD02A50D358D,Osvalda,nurse,Rossi,Johnson & Johnson,2021-05-06 11:30:53,2,Amanda,Esposito,SPSMND49S55I666K,+393331169595,other,Johnson & Johnson,1bbb3b3d-b8db-4745-b6e8-95a67ef461d8,fe7fa75c-e080-45b8-a58f-b4e1c5a3903f,,,,,,,,,,Antonietta,Russo,RSSNNT60A71A618S,+393390209511,other,Molecular,Negative,2021-07-01 11:15:42,2b0d011d-3788-4272-b852-a0ddb85a3686,,,,,,,,,,Wenqian,Giordano,GRDWQN88D23F290N,+39391801517,other,Antigen,Negative,2021-07-06 14:52:32,c4d57a11-6a56-4a70-97d0-b76a9252c89c,Eugenio,Cavalli,+39351008553,Simone,Greco,+39382735825
Via Bellini,10121,8,Torino,1979-10-14,+39326886896,MRCNLT79R54C111X,Nicoletta,F,Marcon,2021-02-20 03:21:00,1,+39361746791,MRCGPP33L29D645G,Giuseppe,nurse,Marchesan,Pfizer-BioNTech,2021-03-20 03:21:00,2,Anthony Jakob,De Giorgi,DGRNHN39P11I780O,+39350940423,nurse,Pfizer-BioNTech,1bcdf703-0187-4b6d-a1e2-6b204adb342b,b7270857-8a82-42c3-a5b0-7787e4b5747c,,,,,,,,,,Brunella Carla,Fornara,FRNBNL28A46C926Z,+393372911521,other,Molecular,Negative,2021-06-04 02:56:26,e991d308-2b6f-438d-85fb-459337fb7983,,,,,,,,,,Stefano Tafa',Hofer,HFRSFN63E13F856X,+393809147163,doctor,Antigen,Positive,2021-02-20 22:29:58,a2edd7fa-6d74-4cbc-86f6-0db4e24fbc89,Umberto Piero,Amico,+393352769198,Laura Iride,Baldi,+393910683362
Via P. Di Piemonte,87043,5,Bisignano,1933-02-17,+39377669980,FSCPRI33B17H210F,Piero,M,Fusco,,,,,,,,,,,,,,,,,,,Jonel,Crespi,CRSJNL81D21A532U,+39392980588,doctor,Antigen,Negative,2021-06-21 07:59:46,1065c93b-f16c-48be-9938-371afb4100b8,Francesco,Giusti,GSTFNC54B24G754J,+393775757312,other,Molecular,Negative,2021-03-30 17:44:16,f78fbf65-e16f-4cc8-9762-f19cafddd10c,Leonardo,Beltrame,BLTLRD48R27B309Q,+39350831862,doctor,Antigen,Positive,2021-08-25 20:36:00,8b1a0b15-6624-4241-90cc-6b8f0ce655d5,Fabrizio,Massaro,MSSFRZ51A29B239Y,+393744059476,doctor,Molecular,Negative,2021-10-03 01:44:43,f3db92c0-8379-4613-9664-feaabd34b04b,Andrea,Fabbri,+393788628484,Jamal,Sanna,+39363966797
Viale Dei Mille,50131,32/r,Firenze,2002-05-17,+39321919681,SPSNRL02E17I843J,Andrea Luigi,M,Esposito,2021-09-20 22:24:46,1,+39347834363,MRNYLN75C64D799G,Ylenia,other,Marino,Johnson & Johnson,,,,,,,,,dc58a2ec-9b97-4b62-b416-f2ded1738a27,,Antonio,Ravaioli,RVLNTN82M27D867U,+39354817021,nurse,Antigen,Positive,2021-10-06 04:22:36,807bdf6a-cf0a-4567-b789-e05f4c12a807,Chiara,Russo,RSSCHR86A60A131G,+393663510154,doctor,Antigen,Positive,2021-06-19 00:28:09,32877501-3f8f-4939-8e4c-cbae09464cfd,,,,,,,,,,Cosimo,Rizzi,RZZCSM47P09E946K,+393368712210,nurse,Molecular,Positive,2021-04-06 12:16:54,7836c453-e5d2-4e1b-8ab6-9039731937c1,Andriana,Marino,+39330294714,Patrizia,Zagaria,+39349130084
Via Alessandro Volta,63039,128,San Benedetto Del Tronto,2002-08-07,+393116620013,SCHGRG02M07E726X,Giorgio,M,Schiavi,,,,,,,,,,,,,,,,,,,Francesco,Amato,MTAFNC97A26C668X,+393704288768,doctor,Antigen,Negative,2021-11-20 04:43:44,09494e91-6552-4aa3-bc27-cb84cd478f84,,,,,,,,,,Teresa,Colombo,CLMTRS53E71E416K,+39323882924,nurse,Antigen,Positive,2021-07-25 18:05:59,3b39e8bb-74f1-4fd9-8502-5271ed70523f,Hagie,Dutto,DTTHGA48M05L974C,+39331909291,nurse,Molecular,Positive,2021-01-06 05:43:08,918ccc48-066b-4985-8ece-384ba36e4027,Alexa,Innocenti,+39361699281,Ubaldo,Gusmeroli,+39326960140
Corso Alessandria,14100,52,Asti,1922-11-08,+39396406961,BNCSNO22S48H494Q,Sonia,F,Bianchi,2021-03-31 06:18:11,1,+39370934040,DSNLRD42H17I255O,Leonardo,doctor,De Santis,Pfizer-BioNTech,2021-04-28 06:18:11,2,Angiola,Betti,BTTNGL49M59I877D,+393841892647,other,Pfizer-BioNTech,c586d23b-0412-4af6-93d2-5fc0b9af1cca,857c22f7-6208-42e9-862e-54a03ab67f0a,,,,,,,,,,Stefania,Ferrari,FRRSFN44R67C481P,+39324025789,nurse,Molecular,Negative,2021-05-06 19:31:46,319e7232-3951-4a62-97cc-11f4936dd201,Ezio Giuseppe,Tonelli,TNLZSP90B05D655X,+39369398406,other,Molecular,Negative,2021-02-16 04:32:07,ba160e97-4e9c-4687-b5e8-a1e8ab9df22a,Bruno,Poletti,PLTBRN58M23I736L,+39389751099,doctor,Antigen,Negative,2021-02-26 12:15:46,21069e94-6c8c-461f-8a70-56792d00a6ae,Giuseppe Antonino,Ferrari,+39327554704,Fatiha,Di Marco,+39398516154
Via Milano,20094,17,Corsico,1996-03-18,+393554722298,SCHLNU96C58D611B,Luna,F,Schiavi,2021-02-07 02:37:07,1,+393415633914,CPPRND60E24G752B,Armand,nurse,Cappelli,AstraZeneca,,,,,,,,,a5f39d2e-8b7d-4da2-a625-8f4f547f847e,,Alessandro,Ricci,RCCLSN92C09F225V,+393367292165,nurse,Antigen,Positive,2021-09-29 10:58:20,68340e72-a025-4999-947c-990f5aa9a499,Maurizio,Montalbano,MNTMRZ25S20C928D,+39378617396,nurse,Antigen,Negative,2021-05-24 09:22:16,63d7643d-c0e0-4411-80e9-90c13a61a5c0,,,,,,,,,,,,,,,,,,,Olga,Bodini,+39327473488,Hammou,Tallarico,+39384035582
Via D. Galimberti,136,21/23,Roma,1971-07-20,+393250982124,CTTCHR71L60E735K,Chiara,F,Cattaneo,2021-06-02 01:55:53,1,+393712588129,CRRYLU00E11H174I,Yu Leo,other,Cerrani,Moderna,2021-06-30 01:55:53,2,Anna,Serafini,SRFNNA65L58H886Q,+393355029778,doctor,Moderna,1ee181c3-7ebe-43d7-9d34-9b561fdd2fe6,0fed1b5d-a51d-46c1-8a58-10f4835e220c,Laila,Colombo,CLMLLA83A42H502C,+393929679092,other,Molecular,Positive,2021-09-08 10:54:53,08e52d2e-a82f-467d-9e77-bc447b1dea22,,,,,,,,,,Geraldine,Dragoni,DRGGLD29M54A004E,+393418091236,other,Molecular,Positive,2021-07-12 13:16:45,d677c740-7520-479c-96bd-bcb1d16355c3,Faith,Bresciani,BRSFTH95P45A817I,+39331948184,nurse,Antigen,Positive,2021-05-04 06:17:41,17c931f6-c469-4e31-8e89-d398b10c3143,Marisa,Rossi,+39389667640,Germano,Zanetti,+39324108087
Piazza E. Chanoux,11018,12,Villeneuve,1973-02-19,+393384345456,BNCRFL73B19I561Y,Raffaele,M,Bianchi,2021-09-10 14:22:38,1,+39380552561,MNCNLN67E44G954V,Natalina,other,Mancini,AstraZeneca,,,,,,,,,fb702c1a-dc12-408a-ab8b-1ea00e442a79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maura,Lombardi,LMBMRA52B60M132A,+393186167887,other,Antigen,Negative,2021-10-16 01:51:58,ae960123-fb7e-4870-90ca-9bb19a8bbbbb,Giancarlo Battista,Bortoluzzi,+39391087294,Davide,D'Angelo,+393641190362
Via Stazione,23030,5,Chiuro,1983-03-10,+393746071471,PPEFBA83C10E486T,Fabio,M,Pepe,,,,,,,,,,,,,,,,,,,Barbara,Mantovani,MNTBBR74H42L868J,+393680832450,nurse,Molecular,Positive,2021-08-10 09:05:28,cc2c55dc-512a-4b71-831c-7535602ffcd3,,,,,,,,,,,,,,,,,,,Said,Guerrini,GRRSDA46B19H185A,+39345714611,doctor,Antigen,Negative,2021-10-23 13:07:38,e06cb358-7bd3-4139-aaac-0246e273b1c7,Luigi,Rosati,+39347916965,Elena,Gagliano,+39355961931
Piazza Vittorio Veneto,70019,21,Triggiano,1928-05-09,+39359358271,BGGGTM28E09M145V,Godtime,M,Baggio,2021-12-17 07:01:04,1,+39378015637,FVRMNL51T69H843V,Manuela,doctor,Favero,Pfizer-BioNTech,2022-01-14 07:01:04,2,Annarita,Righi,RGHNRT29R47H794A,+393281653510,other,Pfizer-BioNTech,82c08e30-200f-496a-a8d4-732b3fadeb6b,d9f7e2c2-771b-4eaf-a5d0-ae41913f0257,,,,,,,,,,Aldo,Bianchi,BNCLDA87R29B258T,+39332601282,nurse,Antigen,Negative,2021-07-14 06:11:13,e9400daa-11ca-43c4-86f9-fdde65e4cbc8,Luca,Bacci,BCCLCU55H09E930Y,+39370442535,doctor,Antigen,Negative,2021-11-28 20:31:39,b5e68849-482f-4f30-8231-4b70776b17e9,,,,,,,,,,Ginevra Serena,Luciani,+393252513792,Devis,Brumat,+393549560757
Piazza Pontida,24122,6,Bergamo,1942-07-06,+39331292903,CNPPLA42L06I475D,Paolo,M,Canepa,2021-06-24 10:08:48,1,+393882486624,RSSRLA65C68H199Q,Aurelia,nurse,Rossi,Moderna,2021-07-22 10:08:48,2,Svetlana,Mura,MRUSTL97B68F979T,+39388053558,other,Moderna,7758a1b3-a528-4d9e-a5df-881a756415e1,f3ece25d-e93f-4e26-a120-2e8c22592980,Massimo,Rampazzo,RMPMSM51A20G587R,+39343463857,nurse,Molecular,Positive,2021-12-29 23:57:30,1c22414b-264f-462d-a0f9-cb8cc2809fbc,,,,,,,,,,,,,,,,,,,Giovanna,Rallo,RLLGNN65M47B288Y,+39341084765,other,Antigen,Positive,2021-06-11 06:35:18,b61157a8-434b-4d95-a8e2-bff419a819d1,Francesca,Mariani,+39341142107,Nora,Favaro,+39395830032
Via Vittorio Emanuele,96010,175,Canicattini Bagni,1979-11-10,+39327061335,RCCRNN79S50D730D,Rosanna,F,Ricci,2021-01-09 18:55:28,1,+393286690343,BCCGPP90S65C200N,Giuseppa,nurse,Bucci,Johnson & Johnson,,,,,,,,,41fb214d-0e80-4fd0-8471-7ce2338cdaa1,,Francesca,Izzi,ZZIFNC65S67A080D,+39346746928,nurse,Molecular,Negative,2021-09-18 16:27:28,8d7ead3e-fe3e-419c-b277-1ce8674f3139,,,,,,,,,,Giuseppa,Di Mauro,DMRGPP81T60E133C,+39320017678,other,Antigen,Negative,2021-05-06 09:33:00,c4efa27e-c27c-4f49-bbb8-187c067c57c4,Beatrice,Ferraro,FRRBRC26R60I628P,+393904976352,nurse,Molecular,Negative,2021-07-21 13:16:45,7423a75a-2e9a-4b4c-9201-b2fdac2db7d9,Teresa,Conti,+393716083198,Rosa Angela,Santoro,+39367488132
Corso Don Luigi Sturzo,76125,122,Trani,1983-08-13,+393895284258,FRRZZA83M13A536J,Aziz,M,Ferrari,2021-06-29 23:43:01,1,+393255008085,MNTLRD99T14B427U,Leonardo Carlo,doctor,Montalbano,Johnson & Johnson,2021-07-27 23:43:01,2,Xiangzhen,Russo,RSSXGZ44H47F110D,+39398667445,doctor,Johnson & Johnson,72dbe26b-dd1f-4150-a57e-9a246d4410d8,b2a85b86-32d7-490b-b2c2-d2beeafe49d1,Ornella,Di Dio,DDIRLL73L69B537Q,+393340210761,other,Antigen,Negative,2021-01-12 15:48:16,24ff0097-fa3b-4c7a-b4ec-dba3420ee5e3,Maria,Di Marco,DMRMRA59E45A008L,+393712637269,other,Molecular,Positive,2021-03-26 15:24:45,9a6ebd17-a9cc-4dd2-8cae-7517f2b72e5f,Innocenza,Guerrini,GRRNCN60E59A006H,+393903088843,doctor,Antigen,Positive,2021-06-30 06:00:44,99466931-784f-4551-ad5b-b8d17bb23fd1,Alessandro,Romano,RMNLSN95E24C342K,+393620411369,nurse,Antigen,Negative,2021-09-22 07:22:20,1a22c98b-f362-4385-8eee-a00f6112620e,Rosangela,Rizzo,+393222128795,Nancy,Romano,+393640500002
Largo Beltramelli,157,13 13/A,Roma,1962-02-17,+393603192259,MNTFNC62B57H342E,Francesca,F,Mantovani,2021-12-17 12:36:40,1,+393773181903,MRORNT85H47E586W,Renata,nurse,Moro,Moderna,2022-01-14 12:36:40,2,Giovanni,Vitali,VTLGNN31A04I315P,+393118798381,other,Moderna,eb86f555-eeff-4118-b64c-e1ea3429c9a0,1cc94099-c307-444b-a79f-516f64de5956,Giulia,Conti,CNTGLI88D45G416C,+39369709974,doctor,Molecular,Negative,2021-10-23 07:18:45,0830cfb4-6e24-4302-8792-b407c31627d3,,,,,,,,,,Mattia Edoardo,Colombo,CLMMTD82T06D099R,+393354593507,nurse,Molecular,Negative,2021-12-23 15:28:59,625aff32-a346-4535-a261-3ac0df691114,Liliana,Mancini,MNCLLN26B64E229S,+393838306341,doctor,Antigen,Negative,2021-07-24 18:46:13,1e8ff195-db2b-4fda-a57d-479b31b4fbda,Mario,Lai,+39383765055,Maria,Sorrentino,+39341871497
Via A.poerio,37124,28/a,Verona,1995-12-08,+39320131816,MRTGPP95T08F632E,Giuseppe,M,Moretti,2021-04-19 09:21:21,1,+393933917449,GRCCST59D47H822X,Cristina,doctor,Greco,Johnson & Johnson,,,,,,,,,560214ca-1af8-439b-a799-288103afbdd1,,Giuseppe Pietro,Leonardi,LNRGPP78P19H254V,+39371643382,other,Antigen,Positive,2021-08-25 13:17:45,b71bcc25-a636-41da-bb69-a98e3f6908c9,,,,,,,,,,Giuditta,Ferrari,FRRGTT78B66E654A,+39329041643,doctor,Molecular,Negative,2021-05-14 19:35:53,d54af31a-6ab0-4164-ba87-9d0ddda1edee,Elisabetta,Corti,CRTLBT91D48G847I,+39388308034,doctor,Molecular,Positive,2021-10-09 10:14:58,66bff62a-f185-4727-9be9-f9c7594092a4,Maria Vittoria,Quarta,+393513381222,Ernesto,Barbieri,+39376269466
Via Vittorio Emanuele,80079,47,Procida,1964-01-28,+393448416987,SLVSFN64A28F239W,Stefano,M,Silvestri,2021-07-12 23:09:22,1,+393680858931,DGRVCN53D59C750E,Vincenza,doctor,Di Girolamo,Johnson & Johnson,2021-08-09 23:09:22,2,Vincenza,Russo,RSSVCN36D63E639X,+39368813683,nurse,Johnson & Johnson,ae65d14c-44fa-4777-99fd-f7c8d10161e3,e4f7590b-c84b-4cb2-b3c5-ab3a3ae8e578,,,,,,,,,,Aurora,Benini,BNNRRA43D42A806Q,+393550357320,doctor,Molecular,Positive,2021-10-28 05:18:39,003b2fb8-4ee4-43d0-8efc-ed3fd051110f,,,,,,,,,,,,,,,,,,,Luca,Rizzi,+393867916368,Gabriele,Moretti,+39368436568
Contrà Porti,36100,33,Vicenza,1948-12-09,+39354490080,BRBDRN48T49D938N,Adriana,F,Barbero,2021-05-08 14:08:03,1,+39335531692,RSSGLI23P58A383J,Giulia,nurse,Rossi,Moderna,2021-06-05 14:08:03,2,Marco,Ferraro,FRRMRC26T14C324L,+39345162091,other,Moderna,782a7e82-80d3-4bbd-a69d-fe95eb7f2a0d,87bfb99a-3892-43b9-891e-0ae7377d8b5e,,,,,,,,,,Angelo,Greppi,GRPNGL51A21D938H,+39387477114,doctor,Antigen,Negative,2021-07-30 03:57:55,826f7332-b96c-4455-b0e4-85de8bffae2f,,,,,,,,,,,,,,,,,,,Giuseppina Delfina Amelia,Genna,+393469355357,Catalin,Gurrieri,+393232530192
Piazza Dei Mosto,16040,27,Ne,1971-11-20,+39320496730,LGLMBR71S60D783L,Ambra,F,Lugli,2021-04-08 17:16:37,1,+39383462701,BRNNDR60H06F151B,Andrea,doctor,Bernasconi,Pfizer-BioNTech,,,,,,,,,e1002025-b59e-471b-b7de-c60090ee3a8b,,,,,,,,,,,,,,,,,,,,Giuseppa,Di Girolamo,DGRGPP75E48G438G,+393160071741,other,Antigen,Positive,2021-12-19 15:15:56,d764d95f-56e2-4cfb-9457-ae672496f5b9,Mazena,Costa,CSTMZN93M43A121K,+39370885189,nurse,Antigen,Negative,2021-04-23 23:41:17,d7537999-81f7-477c-a377-100c5db27660,Valter Battista,Marinelli,+393111749183,Gennaro,Festuccia,+393542312480
Via Giuseppe Verdi,5026,7,Montecastrilli,1988-01-31,+39322061104,FRRWLD88A31I114M,Walid,M,Ferraro,2021-02-01 20:47:44,1,+39390251724,DNIFNN41D09B667Y,Fernando,doctor,Diana,Pfizer-BioNTech,,,,,,,,,894a2e30-dbe9-4a04-9c14-63f327fc2c6f,,Michela,Puglisi,PGLMHL28T41G234D,+39339643840,nurse,Molecular,Positive,2021-01-30 21:39:12,76f8079c-c0c8-44c1-8a60-1726b41b935a,,,,,,,,,,Antonio,Carvelli,CRVNTN55B12F108Q,+39320892198,nurse,Molecular,Positive,2021-07-21 22:23:15,d944402f-c231-4a64-88a4-4dbdb4cb8f4c,,,,,,,,,,Annamaria,Siri,+39321169988,Ubaldo,Repetto,+393985765215
Viale Regina Margherita,98121,107,Messina,1951-06-05,+39398570536,RSSRNG51H45E930C,Rosangela Rossana,F,Rossi,2021-11-22 07:44:52,1,+393849447995,FNTMDA35H16F829V,Amadou,other,Fontana,Pfizer-BioNTech,,,,,,,,,e054b120-904e-422d-a961-16068534ba01,,Francesca,Ferrari,FRRFNC65P60G491P,+393834155420,nurse,Molecular,Negative,2021-05-15 04:51:32,56065f93-f6f6-47f0-96d6-56a726174ee4,,,,,,,,,,Gina,Greco,GRCGNI28C59G187Q,+393290933653,doctor,Molecular,Positive,2021-02-05 01:46:14,a4aacc75-71fa-4e70-b3fe-d72487cd6312,Antonella,Corti,CRTNNL37T43C936E,+393912703606,nurse,Molecular,Negative,2021-02-24 13:31:58,198eb33d-c93b-4328-84ad-f079a8187744,Alessandro Serafino,Cortinovis,+39382138245,Andrea,Ferrari,+39357889481
Via Borgo Stretto,56127,31,Pisa,1964-04-30,+393200810829,PRDMGJ64D30I737I,Mingjian,M,Pardini,2021-12-18 21:06:00,1,+393816204942,RSSGPP43T10I737F,Giuseppe,other,Rossi,Moderna,,,,,,,,,04a1fd41-1971-427d-91b8-2860169fe068,,Sarah,Fiore,FRISRH86M49C436X,+393100608243,other,Molecular,Negative,2021-09-20 09:38:14,a6be065b-c8f1-46f0-be51-686db88158ca,,,,,,,,,,,,,,,,,,,Laura Teodora,Carrieri,CRRLTD34R53D171V,+39350099576,other,Molecular,Positive,2021-10-23 03:49:56,8d110158-549b-4f88-8729-143eaeb92217,Maria Gabriella,Ferraris,+39323947960,Raffaella,Marino,+39345413808
Piazza Dei Vich,38039,4,Vigo Di Fassa,1961-08-25,+39395760945,SRTSLD61M25C734S,Samuel David,M,Sartori,,,,,,,,,,,,,,,,,,,Erik,Baldi,BLDRKE66D18L775H,+393659858122,other,Molecular,Positive,2021-11-26 23:55:24,cb4f3006-b86e-4a49-ad96-4db9a523dec7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carla,Dalmasso,+393970272834,Anna Maria,Colombo,+39332261253
